min,mean,max,date
28,33,38,'2013-01-01'
33,40,46,'2013-01-02'
35,42,50,'2013-01-03'
26,36,46,'2013-01-04'
32,39,46,'2013-01-05'
32,36,41,'2013-01-06'
28,35,42,'2013-01-07'
21,27,33,'2013-01-08'
17,28,39,'2013-01-09'
21,30,39,'2013-01-10'
37,40,44,'2013-01-11'
33,36,39,'2013-01-12'
28,34,39,'2013-01-13'
35,39,43,'2013-01-14'
37,44,50,'2013-01-15'
42,45,48,'2013-01-16'
32,34,35,'2013-01-17'
37,40,42,'2013-01-18'
35,38,41,'2013-01-19'
35,40,45,'2013-01-20'
37,45,53,'2013-01-21'
42,44,47,'2013-01-22'
39,44,48,'2013-01-23'
32,34,37,'2013-01-24'
35,38,41,'2013-01-25'
30,34,37,'2013-01-26'
28,32,37,'2013-01-27'
28,34,41,'2013-01-28'
32,38,44,'2013-01-29'
26,36,47,'2013-01-30'
26,37,48,'2013-01-31'
26,38,50,'2013-02-01'
41,46,52,'2013-02-02'
41,46,50,'2013-02-03'
37,42,46,'2013-02-04'
28,36,46,'2013-02-05'
30,38,46,'2013-02-06'
37,39,41,'2013-02-07'
30,37,44,'2013-02-08'
30,36,42,'2013-02-09'
32,36,39,'2013-02-10'
28,34,39,'2013-02-11'
35,42,48,'2013-02-12'
37,42,46,'2013-02-13'
37,42,48,'2013-02-14'
37,42,46,'2013-02-15'
33,40,48,'2013-02-16'
37,40,42,'2013-02-17'
33,37,41,'2013-02-18'
35,38,41,'2013-02-19'
33,40,46,'2013-02-20'
32,34,37,'2013-02-21'
32,38,44,'2013-02-22'
39,44,48,'2013-02-23'
41,46,51,'2013-02-24'
41,46,50,'2013-02-25'
37,42,48,'2013-02-26'
37,42,46,'2013-02-27'
37,42,46,'2013-02-28'
32,40,50,'2013-03-01'
35,38,42,'2013-03-02'
33,40,46,'2013-03-03'
32,40,50,'2013-03-04'
35,44,52,'2013-03-05'
42,43,44,'2013-03-06'
39,41,43,'2013-03-07'
41,44,48,'2013-03-08'
46,48,51,'2013-03-09'
46,50,57,'2013-03-10'
50,52,55,'2013-03-11'
39,42,46,'2013-03-12'
42,48,53,'2013-03-13'
39,46,51,'2013-03-14'
41,42,44,'2013-03-15'
28,30,33,'2013-03-16'
21,32,42,'2013-03-17'
35,39,43,'2013-03-18'
48,52,55,'2013-03-19'
33,45,59,'2013-03-20'
46,48,51,'2013-03-21'
42,45,48,'2013-03-22'
33,44,54,'2013-03-23'
33,46,60,'2013-03-24'
48,50,53,'2013-03-25'
44,47,50,'2013-03-26'
42,46,51,'2013-03-27'
42,46,51,'2013-03-28'
46,48,51,'2013-03-29'
53,58,62,'2013-03-30'
44,50,55,'2013-03-31'
46,52,57,'2013-04-01'
45,48,50,'2013-04-02'
41,46,51,'2013-04-03'
46,50,54,'2013-04-04'
42,48,57,'2013-04-05'
44,54,63,'2013-04-06'
42,48,51,'2013-04-07'
41,46,51,'2013-04-08'
42,46,50,'2013-04-09'
44,50,55,'2013-04-10'
42,51,60,'2013-04-11'
41,52,65,'2013-04-12'
51,60,68,'2013-04-13'
44,55,66,'2013-04-14'
42,50,59,'2013-04-15'
46,53,60,'2013-04-16'
46,53,61,'2013-04-17'
46,54,62,'2013-04-18'
50,55,60,'2013-04-19'
48,54,59,'2013-04-20'
37,52,66,'2013-04-21'
